소관,입출분류,회계분류,계정,관,항,금액_원안,계정별합계_원안,회계분류별합계_원안,소관총계_원안,증감액,수정금액_확정안,회계분류별합계_확정안,소관총계_확정안
대통령비서실 및 국가안보실,세입,일반회계,-,재산수입,관유물대여료,53000000,,94000000,94000000,0,53000000,94000000,94000000
대통령비서실 및 국가안보실,세입,일반회계,-,경상이전수입,기타경상이전수입,21000000,,,,0,21000000,,
대통령비서실 및 국가안보실,세입,일반회계,-,재화및용역판매수입,잡수입,20000000,,,,0,20000000,,
대통령경호처,세입,일반회계,-,재산수입,관유물대여료,58000000,,123000000,123000000,0,58000000,123000000,123000000
대통령경호처,세입,일반회계,-,재화및용역판매수입,면허료및수수료,2000000,,,,0,2000000,,
대통령경호처,세입,일반회계,-,재화및용역판매수입,잡수입,63000000,,,,0,63000000,,
국회,세입,일반회계,-,재산수입,관유물대여료,801000000,,2601000000,2601000000,0,801000000,2601000000,2601000000
국회,세입,일반회계,-,재산수입,기타이자수입및재산수입,5000000,,,,0,5000000,,
국회,세입,일반회계,-,경상이전수입,변상금및위약금,33000000,,,,0,33000000,,
국회,세입,일반회계,-,경상이전수입,기타경상이전수입,700000000,,,,0,700000000,,
국회,세입,일반회계,-,재화및용역판매수입,면허료및수수료,110000000,,,,0,110000000,,
국회,세입,일반회계,-,재화및용역판매수입,잡수입,770000000,,,,0,770000000,,
국회,세입,일반회계,-,수입대체경비수입,잡수입,132000000,,,,0,132000000,,
국회,세입,일반회계,-,관유물매각대,고정자산매각대,50000000,,,,0,50000000,,
대법원,세입,일반회계,-,재산수입,관유물대여료,3356000000,,607928000000,922602000000,0,3356000000,600795000000,915469000000
대법원,세입,일반회계,-,재산수입,기타이자수입및재산수입,40000000,,,,0,40000000,,
대법원,세입,일반회계,-,경상이전수입,"벌금,몰수금및과태료",100000000,,,,0,100000000,,
대법원,세입,일반회계,-,경상이전수입,변상금및위약금,235000000,,,,0,235000000,,
대법원,세입,일반회계,-,경상이전수입,기타경상이전수입,138144000000,,,,0,138144000000,,
대법원,세입,일반회계,-,재화및용역판매수입,면허료및수수료,391423000000,,,,-7283000000,384140000000,,
대법원,세입,일반회계,-,재화및용역판매수입,잡수입,146000000,,,,0,146000000,,
