소관,입출분류,회계분류,계정,장(분야),관(부문),항(프로그램),금액_원안,계정별합계_원안,회계분류별합계_원안,소관총계_원안,증감액,수정금액_확정안,회계분류별합계_확정안,소관총계_확정안
대통령경호실 및 국가안보실,세출,일반회계,-,일반.지방행정,일반행정,기관운영,59874000000,,93669000000,93669000000,0,59874000000,93669000000,93669000000
대통령경호실 및 국가안보실,세출,일반회계,-,일반.지방행정,일반행정,국정지원,33795000000,,,,0,33795000000,,
대통령경호처,세출,일반회계,-,일반.지방행정,일반행정,대통령경호처 운영,60121000000,,88639000000,88639000000,0,60121000000,88639000000,88639000000
대통령경호처,세출,일반회계,-,일반.지방행정,일반행정,대통령 및 국가요인 경호,28518000000,,,,0,28518000000,,
국회,세출,일반회계,-,일반.지방행정,입법및선거관리,의정활동지원,100008000000,,638084000000,638084000000,1117000000,101125000000,640904000000,640904000000
국회,세출,일반회계,-,일반.지방행정,입법및선거관리,국회사무처운영,94502000000,,,,1450000000,95952000000,,
국회,세출,일반회계,-,일반.지방행정,입법및선거관리,국회도서관운영,25796000000,,,,163000000,25959000000,,
국회,세출,일반회계,-,일반.지방행정,입법및선거관리,예산정책처운영,4500000000,,,,0,4500000000,,
국회,세출,일반회계,-,일반.지방행정,입법및선거관리,입법조사처운영,3569000000,,,,0,3569000000,,
국회,세출,일반회계,-,일반.지방행정,입법및선거관리,국회행정지원,409709000000,,,,90000000,409799000000,,
대법원,세출,일반회계,-,공공질서및안전,법원및헌재,재판활동지원,198884000000,,1628937000000,1943611000000,-403000000,198481000000,1622520000000,1937194000000
대법원,세출,일반회계,-,공공질서및안전,법원및헌재,법원시설 확충 및 유지보수,47827000000,,,,0,47827000000,,
대법원,세출,일반회계,-,공공질서및안전,법원및헌재,사법정보화운영,82025000000,,,,0,82025000000,,
대법원,세출,일반회계,-,공공질서및안전,법원및헌재,사법행정운영지원,1300201000000,,,,-6014000000,1294187000000,,
대법원,세출,등기특별회계,-,공공질서및안전,법원및헌재,법원시설확충및유지보수,25800000000,,314674000000,,0,25800000000,314674000000,
대법원,세출,등기특별회계,-,공공질서및안전,법원및헌재,사법정보화운영,53127000000,,,,0,53127000000,,
대법원,세출,등기특별회계,-,공공질서및안전,법원및헌재,사법행정운영지원,151534000000,,,,-150000000,151384000000,,
대법원,세출,등기특별회계,-,공공질서및안전,법원및헌재,회계간거래(전출금),74484000000,,,,150000000,74634000000,,
대법원,세출,등기특별회계,-,공공질서및안전,법원및헌재,내부거래지출,9729000000,,,,0,9729000000,,
헌법재판소,세출,일반회계,-,공공질서및안전,법원및헌재,헌법재판소운영,47962000000,,47962000000,47962000000,-86000000,47876000000,47876000000,47876000000
중앙선거관리위원회,세출,일반회계,-,일반.지방행정,입법및선거관리,선거의공정한관리,79944000000,,347178000000,347178000000,-3606500000,76337500000,343571500000,343571500000
중앙선거관리위원회,세출,일반회계,-,일반.지방행정,입법및선거관리,선거관리행정지원,267234000000,,,,0,267234000000,,
중앙선거관리위원회,세출,일반회계,-,통일.외교,통일,민주평화통일자문회의운영,31490000000,,31490000000,31490000000,90000000,31580000000,31580000000,31580000000
감사원,세출,일반회계,-,일반.지방행정,일반행정,감사활동 및 행정지원,132882000000,,132882000000,132882000000,-464000000,132418000000,132418000000,132418000000
국가정보원,세출,일반회계,-,일반.지방행정,일반행정,국가정보지원,560960000000,,560960000000,560960000000,-16400000000,544560000000,544560000000,544560000000
국무조정실 및 국무총리비서실,세출,일반회계,-,일반.지방행정,국정운영,정부출연연구기관 지원(R&D),490063000000,,573292000000,584731000000,-1252000000,488811000000,572565000000,583980000000
국무조정실 및 국무총리비서실,세출,일반회계,-,일반.지방행정,국정운영,국무총리실 행정지원,83028000000,,,,525000000,83553000000,,
국무조정실 및 국무총리비서실,세출,일반회계,-,일반.지방행정,국정운영,KDI 국제정책대학원 연금기금 국가부담금 지원,201000000,,,,0,201000000,,
국무조정실 및 국무총리비서실,세출,에너지및자원사업특별회계,투자계정,일반.지방행정,국정운영,정부출연연구기관 지원(R&D),11439000000,11439000000,11439000000,,-24000000,11415000000,11415000000,
기획재정부,세출,일반회계,-,일반.지방행정,재정.금융,경제정책,2557000000,,15770716000000,15770716000000,0,2557000000,15979064500000,15979064500000
기획재정부,세출,일반회계,-,일반.지방행정,재정.금융,정부위원회,2961000000,,,,-387000000,2574000000,,
기획재정부,세출,일반회계,-,일반.지방행정,재정.금융,정책조정,7866000000,,,,360000000,8226000000,,
기획재정부,세출,일반회계,-,일반.지방행정,재정.금융,자문회의 지원,2793000000,,,,-150000000,2643000000,,
기획재정부,세출,일반회계,-,일반.지방행정,재정.금융,조세정책,5175000000,,,,-256000000,4919000000,,
